,choice,alt,time,fare,age,number_own_cars,chid,idx.chid,idx.alt
278,FALSE,2,0.693,5.4,0,0,93,93,2
279,FALSE,3,0.2222,1.0656,0,1,93,93,3
280,TRUE,1,0.547,3.2,0,0,94,94,1
281,FALSE,2,1.059,10.2,0,0,94,94,2
282,FALSE,3,0.3165,1.6045,0,1,94,94,3
283,TRUE,1,0.337,1.9,0,0,95,95,1
284,FALSE,2,1.251,8,0,0,95,95,2
285,FALSE,3,0.2224,1.0238,0,1,95,95,3
286,TRUE,1,0.563,3.2,0,0,96,96,1
287,FALSE,2,1.144,7.5839,0,0,96,96,2
288,FALSE,3,0.3168,1.6216,0,1,96,96,3
289,TRUE,1,0.547,3.2,0,0,97,97,1
290,FALSE,2,0.989,8.8217,0,0,97,97,2
291,FALSE,3,0.3165,1.6045,0,1,97,97,3
292,TRUE,1,0.563,3.2,0,0,98,98,1
293,FALSE,2,0.962,8.8217,0,0,98,98,2
294,FALSE,3,0.3168,1.6216,0,1,98,98,3
295,TRUE,1,0.337,1.9,0,0,99,99,1
296,FALSE,2,1.081,6.7,0,0,99,99,2
297,FALSE,3,0.2224,1.0238,0,1,99,99,3
298,TRUE,1,0.405,2.3,0,0,100,100,1
299,FALSE,2,1.135,5.7,1,0,100,100,2
300,FALSE,3,0.3629,1.7566,0,1,100,100,3
301,TRUE,1,0.436,3.2,0,0,101,101,1
302,FALSE,2,0.665,5.8,1,0,101,101,2
303,FALSE,3,0.3629,1.7566,0,1,101,101,3
304,TRUE,1,0.727,7.4,0,0,102,102,1
305,FALSE,2,1.67,20.6717,1,0,102,102,2
306,FALSE,3,0.8298,4.3155,0,1,102,102,3
307,TRUE,1,0.953,10.2,0,0,103,103,1
308,FALSE,2,1.299,13.1611,1,0,103,103,2
309,FALSE,3,0.5315,2.674,0,1,103,103,3
310,TRUE,1,1.26,11,0,0,104,104,1
311,FALSE,2,1.142,14.7906,1,0,104,104,2
312,FALSE,3,0.614,3.1251,0,1,104,104,3
313,TRUE,1,0.495,2.3,0,0,105,105,1
314,FALSE,2,1.097,10.4,1,0,105,105,2
315,FALSE,3,0.3306,1.5828,0,1,105,105,3
316,TRUE,1,0.481,2.3,0,0,106,106,1
317,FALSE,2,1.046,9.1,1,0,106,106,2
318,FALSE,3,0.2843,1.3389,0,1,106,106,3
319,TRUE,1,0.798,4.8,0,0,107,107,1
320,FALSE,2,1.245,11.8056,1,0,107,107,2
321,FALSE,3,0.475,2.4748,0,1,107,107,3
322,TRUE,1,0.478,4.8,0,0,108,108,1
323,FALSE,2,1.288,13.1611,1,0,108,108,2
324,FALSE,3,0.5315,2.674,0,1,108,108,3
325,TRUE,1,0.254,1.4,0,0,109,109,1
326,FALSE,2,1.024,3.8,1,0,109,109,2
327,FALSE,3,0.0974,0.3644,0,1,109,109,3
328,TRUE,1,0.362,2.3,0,0,110,110,1
329,FALSE,2,0.834,6.9,1,0,110,110,2
330,FALSE,3,0.2729,1.341,0,1,110,110,3
331,TRUE,1,0.459,3.2,0,0,111,111,1
332,FALSE,2,1.267,8.9,1,0,111,111,2
333,FALSE,3,0.2808,1.3236,0,1,111,111,3
334,TRUE,1,0.252,1.8,0,0,112,112,1
335,FALSE,2,0.523,3.3,1,0,112,112,2
336,FALSE,3,0.1254,0.5363,0,1,112,112,3
337,TRUE,1,0.636,4.8,0,0,113,113,1
338,FALSE,2,1.203,11.3,1,0,113,113,2
339,FALSE,3,0.4471,4.2428,0,1,113,113,3
340,TRUE,1,0.644,4.8,0,0,114,114,1
341,FALSE,2,1.243,11.3,1,0,114,114,2
342,FALSE,3,0.476,4.3977,0,1,114,114,3
343,TRUE,1,1.608,11,0,0,115,115,1
344,FALSE,2,1.445,14.7906,1,0,115,115,2
345,FALSE,3,0.614,3.1251,0,1,115,115,3
346,TRUE,1,0.252,1.8,0,0,116,116,1
347,FALSE,2,0.426,3.1,1,0,116,116,2
348,FALSE,3,0.1254,0.5363,0,1,116,116,3
349,TRUE,1,1.127,7.4,0,0,117,117,1
350,FALSE,2,1.779,17.8,1,0,117,117,2
351,FALSE,3,0.6954,5.6529,0,1,117,117,3
352,TRUE,1,0.741,6.09,0,0,118,118,1
353,FALSE,2,1.804,19.2311,1,0,118,118,2
354,FALSE,3,0.6117,3.1215,0,1,118,118,3
355,TRUE,1,0.56,6.5,0,0,119,119,1
356,FALSE,2,2.104,21.6311,1,0,119,119,2
